STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
35042099999,ZABELOVKA,08/09/1960,31/03/1998,null,KZ,52.3,61.317,279
35707099999,ZABURUNYE/ISATAY,01/01/1959,20/03/1984,null,KZ,46.75,50.2,-23
36665099999,ZAJSAN,06/02/1948,07/04/2020,null,KZ,47.467,84.917,603
37575099999,ZAKATALA,04/09/1949,07/04/2020,null,AJ,41.6666666,46.65,490
35721099999,ZAMBIKE,03/01/1959,14/07/1990,null,KZ,47.033,55.133,45
27857099999,ZAMETCHINO,31/12/1936,07/04/2020,null,RS,53.4833333,42.6333333,131
34753099999,ZAVETNOE,14/01/1973,07/02/1995,null,RS,47.1166666,43.9333333,81
29925099999,ZAVYALOVO-IN-ALTAY,07/07/1955,08/02/1988,null,RS,52.833,80.95,165
29712099999,ZDVINSK,07/07/1955,07/04/2020,null,RS,54.7,78.6666666,113
34894099999,ZELENGA,18/10/1961,29/11/1963,null,RS,46.183,48.6,
37404099999,ZESTAFONT,03/01/1959,31/01/2007,null,GG,42.1333333,43.0166666,148
34398099999,ZHALPAKTAL,01/01/1959,07/04/2020,null,KZ,49.6666666,49.4833333,10
35173099999,ZHALTYR,04/01/1959,07/04/2020,null,KZ,51.6166666,69.8,305
36397099999,ZHANGIZTOBE,31/01/1948,07/04/2020,null,KZ,49.2166666,81.2166666,455
36785099999,ZHANSUGUROV,01/07/2014,07/04/2020,null,KZ,45.3833333,79.5,628
51437099999,ZHAOSU/MONGGOLKURE,28/03/1962,13/05/1997,null,CH,43.167,81.117,1830
36859099999,ZHARKENT,01/02/1948,07/04/2020,null,KZ,44.1666666,80.0666666,645
35497099999,ZHARYK,18/02/1953,07/04/2020,null,KZ,48.85,72.8666666,656
29749099999,ZHERNOVO,09/07/1955,02/04/1961,null,RS,54.15,87.317,291
36831099999,ZHETY-ZHOL,01/01/1959,31/12/1981,null,KZ,44.8,77.333,505
35671099999,ZHEZKAZGAN,15/03/1948,07/04/2020,null,KZ,47.8,67.7166666,346
35953099999,ZHOSALY,08/02/1949,07/04/2020,null,KZ,45.5,64.0833333,103
35026099999,ZILAIR,08/03/1953,07/04/2020,null,RS,52.2166666,57.4522222,521
34743099999,ZIMOVNIKI,02/01/1959,31/03/2020,null,RS,47.15,42.4833333,72
28630099999,ZLATOUST,29/11/1963,01/01/1993,null,RS,55.2,59.6666666,538
35969099999,ZLIKHA,13/03/1953,07/04/2020,null,KZ,45.25,67.0666666,138
36038099999,ZMEINOGORSK,06/07/1955,07/04/2020,null,RS,51.15,82.2,355
35704099999,ZOBURUN'JE,01/04/1984,01/12/1991,null,KZ,46.75,50.167,-24
28986099999,ZOLOTAJA NIVA,16/10/1963,15/07/1990,null,KZ,52.967,71.933,196
34271099999,ZOLOTOE,05/09/1974,18/11/1979,null,RS,50.817,45.883,43
36619099999,ZUZ-AGAC,17/02/1962,07/04/2020,null,KZ,47.083,79.717,422
35394699999,ZVARTNOTS,06/07/2004,07/04/2020,null,AM,40.147275,44.395881,865.02
28756099999,ZVERINOGOLOVSKOE,01/01/1969,14/06/2018,null,RS,54.4666666,64.8666666,117
36421099999,ZYRJANOVSK,09/01/1959,07/04/2020,null,KZ,49.75,84.283,492
